@odata.etag,msdyn_aieventid,createdon,msdyn_eventtimestamp,msdyn_eventtype,msdyn_billingtype,msdyn_creditconsumed,msdyn_ismeteredevent,msdyn_conversationid,msdyn_sessionid,_msdyn_botid_value,_msdyn_botid_value@OData.Community.Display.V1.FormattedValue,_msdyn_environmentid_value,_msdyn_environmentid_value@OData.Community.Display.V1.FormattedValue,msdyn_channel,msdyn_outcome,statecode,statuscode,versionnumber,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
"W/""8824063""",bf182031-0f8e-a1f1-508e-955553c7c650,2026-08-01T13:15:16Z,2026-08-01T13:15:16Z,Classic answer,Zero-rated,0,false,865f695b-f701-6b66-4c2c-64df7053b15b,ed2b9320-4c94-f0d7-422e-4c771975f625,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Resolved,0,1,89285964,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""7708976""",c57aa431-6a00-042e-2caf-6e3c661b6e7f,2026-08-01T19:38:10Z,2026-08-01T19:38:10Z,Classic answer,Billed,31,true,580453bc-e4d1-b98f-98cc-638a3777dfdf,b253a0bc-f6e9-a7ca-95ca-5e3f1884a76e,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Resolved,0,1,40634319,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""2332809""",e6da6b46-5651-3a60-ea7e-628d51a00454,2026-08-01T17:41:19Z,2026-08-01T17:41:19Z,Generative answer,Billed,98,true,d8230ab6-bdab-28e0-92e6-75ff2e26f1ac,764f8365-28c0-d9d7-9e00-a25cd9dd1168,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Escalated,0,1,70916608,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""7905365""",646c798e-cf3e-c3d2-ead6-5e0d1e0c8279,2026-08-01T16:39:38Z,2026-08-01T16:39:38Z,Generative answer,Zero-rated,0,false,347cc236-14b5-6b25-0ef6-2d3d05f8c31b,d26f8ad2-3e14-8ddb-1dd6-a3901aba5cff,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Abandoned,0,1,76111039,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""8737917""",a41c6ed4-8644-1478-b556-f426aa7af008,2026-08-01T16:30:42Z,2026-08-01T16:30:42Z,Generative answer,Billed,18,true,9255e902-2a68-9142-943e-3548d8e99aa6,93029b44-0ef5-7d33-3dd0-d038da978786,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Escalated,0,1,73344698,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""1869207""",db2f42ba-015e-597d-a427-77649b29b1b5,2026-08-01T12:03:52Z,2026-08-01T12:03:52Z,Agent action,Billed,120,true,a22634b5-2fdd-cb84-f1b7-9a0a6a262309,ff430c3e-95ec-65b8-06a4-b9db54c7f626,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Escalated,0,1,61564119,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""1031315""",06bbf0ec-912a-7718-8453-94c36a912140,2026-08-01T13:56:58Z,2026-08-01T13:56:58Z,Agent action,Billed,15,true,2ebe36ba-e5ed-20a2-cdd3-9df9efabdfca,5ea034fb-bdaf-bb79-5d06-140fd08200b5,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Resolved,0,1,77852433,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""8718627""",068ad35b-4369-6518-8f06-e1eda3618e1a,2026-08-01T17:29:12Z,2026-08-01T17:29:12Z,Agent action,Billed,159,true,4359c3bf-02d4-8550-a8b0-6a7871221afc,06ddb464-94dd-71ed-1d73-6c6de230b9df,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Escalated,0,1,26194468,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""3293182""",91f10c5f-7f96-32f6-f1f7-0daf30daf217,2026-08-01T09:31:28Z,2026-08-01T09:31:28Z,Classic answer,Billed,54,true,3aa548dd-c2e0-143b-70bf-714ea2134956,03cfd821-d88a-907a-9176-94db083c56cc,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Store Ops Assistant,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Resolved,0,1,36131252,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""6531625""",86e031e7-d84d-724c-d912-63911fd32aeb,2026-08-01T18:37:10Z,2026-08-01T18:37:10Z,Classic answer,Billed,12,true,72b6e4ea-483f-88b7-6d72-75c3fb906113,5f6a2847-873a-57a2-4224-d4010501c2a3,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Store Ops Assistant,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Escalated,0,1,16142024,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""5928347""",7d0e01f4-d6bc-b21c-454c-0b79b59ba5a1,2026-08-01T11:49:28Z,2026-08-01T11:49:28Z,Classic answer,Billed,10,true,e9b4cde5-5831-da28-dae4-e4a91ec95c5b,37def057-0d41-4ccf-5bb0-a01560dac202,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Store Ops Assistant,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Resolved,0,1,53415617,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""5305898""",e41eb440-38ba-e5e6-83d1-cdb98e037e5a,2026-08-01T08:00:30Z,2026-08-01T08:00:30Z,Classic answer,Billed,50,true,89b4dbc0-6faa-2983-2622-718082b99c7b,14f652e3-0e23-2341-d397-1d36250d59d1,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Store Ops Assistant,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Resolved,0,1,29388905,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""3403852""",2c6cb095-db2d-62ea-efbb-6956678f1fec,2026-08-01T09:58:20Z,2026-08-01T09:58:20Z,Classic answer,Billed,55,true,ec34576e-a8ca-ef85-7bd7-f5b00c4a4749,af6ca0bd-6cf0-36af-c71a-ae10adf972a6,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Store Ops Assistant,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Abandoned,0,1,58981508,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""9481883""",c905ef90-998a-75dd-e297-0c5b6eead93d,2026-08-01T09:46:48Z,2026-08-01T09:46:48Z,Generative answer,Billed,68,true,5e0ccb8c-2404-1592-72d1-3031fd1df5a4,6fac6d23-06f1-862c-ce96-dc3e0405d4b3,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Store Ops Assistant,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Escalated,0,1,42841916,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""5378315""",da029afc-25e3-f892-b240-e64b96e58e4d,2026-08-01T16:28:51Z,2026-08-01T16:28:51Z,Generative answer,Billed,110,true,1e93df24-35e6-7875-a8ab-7495e3875beb,1c2f2b78-1bbf-6549-58bd-b036a1f2e4b7,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Store Ops Assistant,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Abandoned,0,1,84859048,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""4827058""",1228bbdb-7563-b124-d883-26635478dcf7,2026-08-01T16:12:05Z,2026-08-01T16:12:05Z,Generative answer,Zero-rated,0,false,974d2610-0f0c-503d-9e68-8afce80a8bff,c5589cc7-b144-417d-3275-9085b04e9f00,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Store Ops Assistant,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Escalated,0,1,24824502,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""2439020""",e2e590fe-8294-4168-c856-359b869c5f97,2026-08-01T13:32:32Z,2026-08-01T13:32:32Z,Generative answer,Billed,62,true,cdafbd48-3d6d-194f-d1e9-53c8cc10d7f1,fa47b897-60b0-8f1c-d584-7b24772333f5,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Store Ops Assistant,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Escalated,0,1,19086101,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""6726190""",73640c2a-e45d-ad86-0e29-a199b05c8346,2026-08-01T09:08:22Z,2026-08-01T09:08:22Z,Generative answer,Billed,66,true,92dd2a85-43ff-9b45-8a74-72b1581d84d2,cd836844-1ddf-f7fd-9c03-699f321ad789,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Store Ops Assistant,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Escalated,0,1,81887831,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""4308825""",45f07409-a955-3dcb-ee5c-9916450c339f,2026-08-01T12:03:50Z,2026-08-01T12:03:50Z,Agent action,Billed,93,true,0fb9b382-464b-1fb8-3506-3c474e8fa241,859d845e-8478-eaa9-e2ee-74022edee587,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Store Ops Assistant,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Abandoned,0,1,51981711,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""8592370""",d44cceb3-5055-cb9b-7d0f-236c1bb6b098,2026-08-01T08:32:29Z,2026-08-01T08:32:29Z,Agent action,Billed,30,true,ae98ac79-ba4e-c9ad-60be-a0d36fcc4bd6,94f2f401-7d66-94b4-503e-14aa3f3b5126,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Store Ops Assistant,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Resolved,0,1,78122543,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""2023378""",bb0535b8-f62e-6476-77ba-732b02713dda,2026-08-01T16:12:10Z,2026-08-01T16:12:10Z,Agent action,Zero-rated,0,false,af562d4a-bbe6-8747-8db5-239534310812,4a34aa5b-e353-afe6-5435-2af4648fc93a,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Store Ops Assistant,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Escalated,0,1,10448477,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-01,batch-2026-09-04,MOCK
"W/""9808667""",22eada73-a5ee-68fa-7582-bcb09bf5097c,2026-08-02T17:37:11Z,2026-08-02T17:37:11Z,Classic answer,Zero-rated,0,false,eb936354-9274-c058-431e-03902227a9b3,f403fe63-1710-0685-6850-a57971ef5f95,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Abandoned,0,1,39406683,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
"W/""7401735""",1a137fea-38c9-cadf-18be-89870b2b4aec,2026-08-02T15:30:41Z,2026-08-02T15:30:41Z,Classic answer,Billed,39,true,88822c16-9ffd-8b3a-b6b1-037805b39b1f,42d56a06-21b2-b4e7-6d80-056fec359559,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Resolved,0,1,20648399,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
"W/""3337306""",226b8bd4-55ea-2cb9-63f9-20cbc5a4df44,2026-08-02T15:06:34Z,2026-08-02T15:06:34Z,Generative answer,Billed,106,true,1defb12c-74bb-9795-ddc7-60002e2b675e,87b59fb2-6707-5ace-0263-8eeeb11c7a00,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Escalated,0,1,66795735,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
"W/""7143410""",4890f6a4-0852-19c8-400c-0fa78aaf21c6,2026-08-02T13:54:26Z,2026-08-02T13:54:26Z,Generative answer,Billed,64,true,d4c4be39-b6c1-11ad-a2e6-f4142f01bb8e,a50058ad-1578-d9d2-944b-ddfdefa8972c,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Resolved,0,1,69395077,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
"W/""7092168""",12dc746f-f9de-5e8c-7ee7-97b36a3e1ac5,2026-08-02T11:27:19Z,2026-08-02T11:27:19Z,Agent action,Billed,99,true,b3e886bf-1425-8378-d2cb-0fa828daa155,8d6216ae-9bb1-0c30-4ca5-47ec296bc878,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Escalated,0,1,68060832,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
"W/""8955695""",be0636e3-e3e9-4379-ddf2-a4f4d43f3ee2,2026-08-02T09:20:22Z,2026-08-02T09:20:22Z,Agent action,Billed,72,true,1f0772fe-22dc-7727-ab4f-2c5bd19321f1,ec660769-f533-bd9f-3f7f-42daadaee6fc,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Abandoned,0,1,93366112,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
"W/""5055742""",b3861760-df05-ec3b-9744-4ccacd7c207e,2026-08-02T14:33:58Z,2026-08-02T14:33:58Z,Agent action,Zero-rated,0,false,c99979c6-2b37-d44f-0c3f-f969e2e8348e,93a6723d-28ea-818b-806f-429ccca00e5a,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Escalated,0,1,75194872,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
"W/""2413418""",13a60486-a4a3-0744-ebd5-9d18c526199b,2026-08-02T08:31:51Z,2026-08-02T08:31:51Z,Agent action,Billed,48,true,07182cc2-5dae-b8ab-f25b-ce3f3721c57a,3a3e0b9f-b637-a2fa-a44b-6f98d041bfbc,bdd640fb-0667-1ad1-1c80-317fa3b1799d,HR Helpdesk Bot,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Escalated,0,1,65392453,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
"W/""4448954""",4775f014-7b36-12f0-79c2-fe526d27cda9,2026-08-02T17:09:31Z,2026-08-02T17:09:31Z,Classic answer,Billed,23,true,2b515b74-3001-f7fa-7d87-b0f14bdf3af0,7398bc20-54ed-8b69-4a35-bd63f51ee600,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Microsoft Teams,Abandoned,0,1,54319629,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
"W/""8300889""",28465616-79c2-1cab-40c7-863d8a417c7e,2026-08-02T12:36:48Z,2026-08-02T12:36:48Z,Classic answer,Billed,28,true,66e0d74e-afda-6a51-74e4-d750fdc3501d,eb750a62-11ac-2697-42b2-db4f0adfe3cf,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Resolved,0,1,82941326,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
"W/""7462842""",f91bd964-970a-3a73-95fe-bca1fb5724a6,2026-08-02T09:31:05Z,2026-08-02T09:31:05Z,Classic answer,Zero-rated,0,false,458d5042-4961-0a59-d54a-f5d7d79b71a5,f20f428d-a56d-1c5f-2f6e-8aa84f5a671b,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Resolved,0,1,88190562,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
"W/""1672960""",2ae41c9b-4f6e-6708-02d7-b184e72b4cd2,2026-08-02T10:17:31Z,2026-08-02T10:17:31Z,Classic answer,Billed,58,true,f3a0b0a7-a870-1dd1-ae7f-a7a095bd9eac,f0885fa0-527c-52cc-f7f8-acb95f19a28b,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Abandoned,0,1,46390454,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
"W/""4891516""",6203af07-1693-824f-f647-dd59faba415b,2026-08-02T08:02:28Z,2026-08-02T08:02:28Z,Generative answer,Billed,30,true,0b3060d3-896a-075f-0ae8-bfed8e3a4113,2e67a7a7-8f87-702e-cab7-8f436171bbf0,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Web chat,Resolved,0,1,42915455,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
"W/""7572503""",51e65866-f7b8-70c3-7b5c-2074b187fe2b,2026-08-02T15:40:28Z,2026-08-02T15:40:28Z,Generative answer,Billed,86,true,9fbfc6f9-f0b3-912d-208d-cf8132b27bec,38d68760-8951-c581-9106-fd8b915fe1be,23b8c1e9-3924-56de-3eb1-3b9046685257,Claims Triage Agent,3f2ad9c1-7b64-4f6a-9d8e-52c0b7a13e45,Contoso Production,Custom website,Resolved,0,1,83951622,2026-09-04T18:00:00Z,AI-FinOps-MOCK,dataverse.msdyn_aievents,2026-08-02,batch-2026-09-04,MOCK
